param,magnitude,unit,sign,mean_cm,median_cm,p95_cm,max_cm,Nose_mean_cm,L_Eye_mean_cm,R_Eye_mean_cm,L_Ear_mean_cm,R_Ear_mean_cm,L_Shoulder_mean_cm,R_Shoulder_mean_cm,L_Elbow_mean_cm,R_Elbow_mean_cm,L_Wrist_mean_cm,R_Wrist_mean_cm,L_Hip_mean_cm,R_Hip_mean_cm,L_Knee_mean_cm,R_Knee_mean_cm,L_Ankle_mean_cm,R_Ankle_mean_cm
ry,2.0,deg,-,7.75138308108299,7.818196691604394,8.025078932393765,8.200098259108978,7.759191132745961,7.745145635361451,7.759077248632651,7.73252949216783,7.77754326161222,7.741769876466936,7.842070968379663,7.731517144604254,7.872780700555092,7.718887505607226,7.863371421651381,7.763828433593736,7.831388845714156,7.685102337516998,7.758010116109508,7.552040635180582,7.639257622511184
ry,5.0,deg,+,19.30081140873946,19.464236906741846,19.92630544865801,20.697542567518965,19.31356670878846,19.279948659068435,19.314168807652095,19.25142092471492,19.357004200265433,19.27518707171984,19.51231928773443,19.253517025099416,19.58535129219951,19.22219660206185,19.562630669953442,19.331018238272215,19.488839784333976,19.15212011727426,19.3212873758145,18.845497339101016,19.04771984451703
ry,5.0,deg,-,19.417139805347205,19.580104855573747,20.122836252937965,20.515602910707916,19.44109416776416,19.405504336511495,19.440122059035303,19.372618779815777,19.486543860034104,19.39638210646474,19.64902508270035,19.37015263396667,19.726914889640224,19.338861512870242,19.70340230938789,19.44963545007412,19.620981897509786,19.24348701146996,19.42934020299238,18.89703187776233,19.120278512902907
rz,0.05,deg,+,0.040765006754409736,0.029328443042403327,0.082640864962344,0.09370223551051574,0.03547583977440231,0.036689997199661775,0.03627878418082322,0.03823640462101369,0.037471512593354836,0.03438129437474317,0.034263199551854244,0.034296867006755966,0.03235820165028381,0.03787370176008718,0.035010877321225604,0.03939313749060886,0.038414863245291156,0.05059574481723031,0.04933614750135764,0.06248929533214896,0.06043924640412286
rz,0.05,deg,-,0.04077001652266261,0.029333188537173493,0.08266472015264359,0.0938733503089129,0.03547212868000368,0.03668548395197679,0.03627487072777064,0.03823056667821527,0.037466519897457695,0.03437897906366086,0.03426008539690136,0.03430516034758453,0.032361775101135956,0.037884603941059435,0.03501597289297568,0.03940500504001148,0.0384247863399994,0.050611538215133714,0.04934962285978811,0.0625076483255811,0.060455533426008644
rz,0.1,deg,+,0.0815310768157433,0.05865123532933062,0.16528968161643526,0.187416248683039,0.07095731092844758,0.07338593235594879,0.07256312891615346,0.0764798309088307,0.07494970999436172,0.0687692361077128,0.06853268034919867,0.06859538169994868,0.06471702458949538,0.07574752710844389,0.07002091248792139,0.07878355858910979,0.0768262805947741,0.10118724585252681,0.09866686800842593,0.12497356545417425,0.12087211192216218
rz,0.1,deg,-,0.08153891736566196,0.05867044479841689,0.16532675821557258,0.18758619309191327,0.07093858514724453,0.07336498353813713,0.0725441406028523,0.076454058448767,0.07492631882845262,0.06875126329843555,0.06851387111736534,0.06860857987929864,0.06472292153427443,0.075768830073816,0.07003277045889122,0.07881269152259351,0.07685299783924987,0.10122727708859224,0.09870464178534577,0.12502026421338117,0.12091739983955596
rz,0.5,deg,+,0.4076249982897391,0.2930650971455566,0.8262536623430259,0.9373208120903014,0.35498880300892843,0.36715006223850294,0.363018224277934,0.38266581193217725,0.37499548798702786,0.3440608025845884,0.34287700484611744,0.3429250156747387,0.32356023369291087,0.3786129079269873,0.3500197033134579,0.3936991067560298,0.3839155854596657,0.5056267302099535,0.493019484213718,0.6245052244040402,0.6039847823987864
rz,0.5,deg,-,0.4077234226565224,0.29360752487333436,0.826888739452903,0.9374511498908265,0.3544896082970621,0.3666031760682123,0.36251684105600346,0.3820021367229691,0.3743833476157092,0.34354179403257923,0.3423559575684264,0.34309516239042664,0.32364047766696175,0.37896702977841784,0.35024795450582796,0.3942807277887918,0.3844797109795376,0.5064423706601038,0.49383480528171936,0.6254589870889661,0.6049580976591662
rz,1.0,deg,+,0.8151530475202953,0.5854881444429643,1.6517394382968824,1.874754270297894,0.7104755647694498,0.7348444519955408,0.7265356495412663,0.7659920358103919,0.7506008658354235,0.6886454943871215,0.6862789448019749,0.6856915419156651,0.6470475841838523,0.756878306343194,0.699813138506761,0.7868214929080284,0.7672702068321887,1.010438526245306,0.9852215914561967,1.2480547523696712,1.2069916599429886
rz,1.0,deg,-,0.8155345341824923,0.587595507849505,1.6544959544463171,1.8747607800544142,0.7084749179303675,0.7326540229119416,0.7245267901283658,0.7633349372382983,0.7481489072724756,0.6865608022164302,0.6841884589751454,0.6863520820446545,0.6473601030698569,0.7582724452539967,0.7007175742062731,0.7891295873740508,0.7695136769095753,1.013677925891177,0.9884667216679325,1.251843083358948,1.2108650446528817
rz,2.0,deg,+,1.62989378377409,1.1691964548059142,3.3013161752946867,3.74969965636274,1.4229282672786008,1.4718487017065986,1.4550510146199829,1.5346065209345385,1.503623636628574,1.3793840400041275,1.374657028802688,1.370746207718898,1.2938123895457607,1.512337566227536,1.3987080588798269,1.5713101380793824,1.5322770593175317,2.0175623957061353,1.9671252724457429,2.4922122451241058,2.4100037811394985
rz,2.0,deg,-,1.631407335907485,1.1763542069214226,3.311705186776105,3.749211003457764,1.414922013095694,1.4630842723231672,1.4470123700795934,1.5239760732231336,1.493812754868384,1.3710374172802668,1.3662896270996696,1.3733672497860472,1.2950531059208004,1.5178911390838041,1.40231656138783,1.580523340397133,1.541237054660923,2.0304965352617566,1.9800892431842556,2.5073387514781724,2.4254772012966157
rz,5.0,deg,+,4.071263949013185,2.9025694001097184,8.239497687225132,9.37462827074009,3.5718880909181503,3.6954943312133137,3.6521625550714263,3.8558186655355784,3.7768972356257016,3.464176524853065,3.452421249657601,3.4222225969246485,3.232671249610111,3.7698288942971003,3.489705760942278,3.9104344952954984,3.813454955903205,5.018159815262583,4.892111094173222,6.200053336660484,5.993986281280157
rz,5.0,deg,-,4.080693731855991,2.951355393162073,8.301530294774215,9.370680294115266,3.5218515915408206,3.6407195737669555,3.601920773231832,3.7893901962159373,3.715589551887978,3.4120323571412503,3.400152957210291,3.4385191945605706,3.2403689956817368,3.804470090837661,3.5122126717020663,3.967948249751195,3.8693924198081495,5.098943836585413,4.973089199870391,6.294542692984336,6.090649088775271
