sigma_rot_deg,sigma_trans_mm,trial,mean_cm,median_cm,p95_cm,max_cm,drx_rad,dry_rad,drz_rad,dtx_m,dty_m,dtz_m,Nose_mean_cm,L_Eye_mean_cm,R_Eye_mean_cm,L_Ear_mean_cm,R_Ear_mean_cm,L_Shoulder_mean_cm,R_Shoulder_mean_cm,L_Elbow_mean_cm,R_Elbow_mean_cm,L_Wrist_mean_cm,R_Wrist_mean_cm,L_Hip_mean_cm,R_Hip_mean_cm,L_Knee_mean_cm,R_Knee_mean_cm,L_Ankle_mean_cm,R_Ankle_mean_cm
0.1,1,10,0.3992383595406168,0.39007901275814116,0.45912835236619054,0.4806284804788742,-0.002937161839698081,-0.0005844846388891711,0.00028405768537950385,0.0005862223313592782,0.000711226579792855,0.0007933472351999252,0.39505176889356114,0.39382396403493514,0.39706762504592275,0.3926808454008679,0.4037260356111929,0.3849891963670175,0.41191864340615625,0.3760555899218718,0.4154212278765128,0.373974092203315,0.41392777572118844,0.3908268517526343,0.40774321403990654,0.39492586730086277,0.4116238952146226,0.4039858331227651,0.4193096862771535
0.1,1,11,0.2116437105822075,0.21187561943732297,0.2663037160363006,0.27339541378177323,-0.000608640069499034,-0.0008069561084494863,0.001497450403063724,-0.0001913043248816149,-0.0012756863233379218,-0.0011332872140034807,0.18214923862948804,0.17934941412926336,0.1804178556049882,0.17819443488883938,0.18083101601286833,0.18996631484463358,0.19389551925883594,0.20386214765260313,0.20830335974920638,0.2157513729874571,0.21778083227740733,0.22235610701739156,0.22402901284398663,0.24467761085024925,0.24630116132184948,0.26490889525523764,0.2651687865732217
0.1,1,12,0.30383240764044805,0.3050579486390875,0.3237934193379416,0.33350551571483866,-0.0016047469705716686,0.0008677091895403004,0.00024857980340078147,0.0006904853540677683,-0.00042725264633653424,0.00015853969107671424,0.29952792976005677,0.2986675740433765,0.29988196453819865,0.29805046639156707,0.30196289243887786,0.29759889624730296,0.3068069307511975,0.2965204810088057,0.30975986210838746,0.2963362284217897,0.3095559055383126,0.3033226737836093,0.30923726941414786,0.30526126074967114,0.31140143378879276,0.30748718237317163,0.3137719785303507
0.1,1,13,0.2015726282650109,0.2074666485703649,0.250426668062223,0.2620567153149211,0.0010918612143578498,-0.0005399115647769579,0.0007972231836956091,-0.0006619259410666513,-0.0003630538465650718,-0.0003817378939983291,0.1836492662586651,0.1815388788361814,0.1830026319907578,0.17902411516249012,0.18257223603792264,0.18447013518599814,0.1899559503398867,0.19243729895319528,0.19995472271647977,0.20200874607404895,0.2075933350441253,0.20745014488852206,0.21035212326108738,0.22282217093631893,0.2257473422801673,0.23612043497300844,0.23803514756633018
0.1,1,14,0.3217876912612917,0.3257146241762532,0.3928230123830901,0.40857357432213737,-0.002087133914141083,0.0008499273156313225,-0.0008192616353104079,1.249411872768743e-05,0.00048074665890590894,0.0004465311760299441,0.30117091887659964,0.2984407269660365,0.3012076965821563,0.2951109414955251,0.3027724943906577,0.29826901020371555,0.3132479234667457,0.303941045804098,0.32517755492610784,0.3137817464476859,0.33297257456182855,0.3255498310737735,0.3342694644814812,0.3436145535497732,0.35223144245037374,0.36076136868973,0.36787145747566974
0.1,1,15,0.21788349740630272,0.21909017884843904,0.24649102610243961,0.27294558696617377,0.0011613160945316385,-0.00017188959701113144,-0.0007387949263304852,-7.971821090639905e-05,-0.0016873344339580299,-0.0014471124724230874,0.21861942348661118,0.21861132113946974,0.21949647922493826,0.21938303217485644,0.22301064031218107,0.2157972064047278,0.22596071348224986,0.21057545968780791,0.22510564550928797,0.20626590409527026,0.22144153503167166,0.2138484770927504,0.22028780182057509,0.21249173411951797,0.21875905293312026,0.21414261506176976,0.22022241433034073
0.1,1,16,0.5191031413661573,0.5217018741098451,0.549864705171825,0.5640240613227183,-0.002308546325043699,-0.0017405240596714124,0.0006977376520938271,-0.0009054790553600608,-0.0003781625540393897,0.0012992282977860655,0.5130625584663104,0.5118293186634314,0.5133963687160694,0.5116111184571549,0.5176898430021829,0.5111605512491368,0.5260313408071583,0.5093978375350628,0.5302736133760686,0.5090922532670409,0.5298608782983107,0.5177197474436105,0.5269974695496275,0.5188924814857977,0.5282432590021802,0.5201285884180032,0.5293661754875268
0.1,1,17,0.3047873488201038,0.30023153555435794,0.3705208202891049,0.38767064523565714,-0.000621797930125168,0.001287207495446833,-0.00162947024710032,-0.00020543755786763,-0.0009500220549105812,-0.0003390330759005625,0.26620187270474926,0.262413906112067,0.2635038796595205,0.2603864003922929,0.26298705879339107,0.27737528739907363,0.27960848968146756,0.29725745104846474,0.2986750181330323,0.3132488443984787,0.31138196370963533,0.32122290026080685,0.3218692022958593,0.3493906330114063,0.3500732095230761,0.37322028433342663,0.3725685284850167
0.1,1,18,0.6839055346744024,0.6863160200234821,0.7442749085712205,0.7564073629872831,0.0014666143729932645,-0.003014742862164831,0.0007582122928385424,0.0002377356023322779,-0.0005941499556967945,-0.0014460578543884547,0.6622242119724808,0.6587298874258352,0.661204904708957,0.6552833616885398,0.6617385524425655,0.6636813864962872,0.6754419487597123,0.6731316535294635,0.689663770167834,0.6829970979556477,0.6977653486165791,0.692722648258806,0.7000414022215964,0.705586562765098,0.7134302220209321,0.7124846994251243,0.720266431009383
0.1,1,19,0.20895176355044445,0.20803168016959717,0.22571763847133397,0.22825774429102227,0.00012588973974496712,-0.0009241391138467774,0.00040609659792058,2.185214552344288e-05,0.0016017788913209154,-0.0002393556274730243,0.19955499327500614,0.1983428194979871,0.19894005346570873,0.19751474324113671,0.19914907214604727,0.2016746672708298,0.20437724046725642,0.20623016210561093,0.20964706863713,0.2100367713070809,0.21258526048717313,0.21314851392055245,0.21463336712571057,0.2189615992457752,0.22046512393468334,0.22279307723420252,0.22412544699566417
0.1,1,20,0.2922225317246709,0.2919801481946197,0.3173834403954635,0.32838898327315996,-0.0017863401132157915,0.00031289500985911574,0.00038396664787767383,0.0013591875752404366,0.0008351112459145786,0.0003568710591495093,0.2889945098383774,0.2883208301189029,0.28981389036662775,0.28797682497218124,0.29301946644429805,0.2853156975863335,0.2978453537013464,0.28173853194829557,0.30006252727826604,0.2802913590207632,0.29896152588970426,0.2891645584406503,0.2972104113040261,0.2911738515437363,0.29938002277635123,0.29525112026212863,0.3032625578274166
0.1,1,21,0.6191964793522736,0.6243362864574764,0.6528757288925856,0.6945746509796056,0.002553945340573378,-0.002074782932399796,-0.001116577064116343,-0.0009265759414055249,-0.000389809803155768,-0.0013766861475563088,0.6269863996077372,0.6267047566083258,0.6285555970657701,0.626477926069007,0.6325847076981613,0.620010778976277,0.6359879209685856,0.6105492487162516,0.6340810829396876,0.6029530100423065,0.6280591726085752,0.6127903824488677,0.6235235524982975,0.6028374917137729,0.6140913512176748,0.5938088561850077,0.6063379136243452
0.1,1,22,0.263087397172672,0.23180079887025912,0.3880133271061059,0.4361114537749333,0.0011085475269070745,-0.00038785177370356463,-0.0025670412498128756,-0.0010155790812075415,0.00031351384745019527,0.0008381265678943812,0.28097585720260676,0.28403363390010195,0.2829877587200512,0.2892701673508386,0.2887476284063991,0.2780448958384842,0.2836778295090098,0.261622709123417,0.2694831571042632,0.24257224819535794,0.2537278576723323,0.24912940764112915,0.2537635769579778,0.2358204992597162,0.24035724166887132,0.23677730278824446,0.24149398059662347
0.1,1,23,1.1388795181337321,1.1406342551653603,1.2455591568022937,1.271212847960284,0.0034849528336303964,0.005085649398210925,0.0007232809061989888,-0.000989538120031864,-0.002132046280731309,0.0002677114623438358,1.167612372656888,1.1674058841289272,1.1712247878211275,1.1651986274270216,1.1777704603029784,1.1476062674057046,1.1788587328100777,1.1254466716412943,1.1717011746862382,1.1128034996618812,1.1623530443189378,1.1215627281860006,1.1422600358633928,1.0920587710977394,1.11320318294852,1.060589013142676,1.0832965541740425
